,score1,score2
291,55.281494,0.8764111
292,53.660625,0.916607
293,55.808884,0.9164769
294,67.22482,1.0
295,52.53836,0.83894116
296,42.691025,0.89211553
297,63.531788,0.94631296
298,58.404354,0.9692255
299,68.37833,0.8959497
300,75.552086,1.0
301,69.52044,1.0
302,61.46797,1.0
303,64.689674,1.0
304,65.90088,1.0
305,54.61928,0.90420556
306,45.88696,0.82828057
307,50.90798,0.8873465
308,56.945347,0.9144636
309,65.32947,0.84131944
310,63.65375,0.90527415
311,53.89448,0.9141425
312,57.809715,0.94811505
313,48.8453,0.8936104
314,44.93358,0.9301609
315,51.487274,0.92133904
316,46.503284,0.9180768
317,39.388374,0.81557196
318,56.972675,0.9371013
319,59.090103,0.8478717
320,58.261406,0.90153676
321,58.998917,0.93673384
322,59.089516,0.932535
323,57.9411,0.90041625
324,46.65945,0.6813551
325,68.12488,0.94929546
326,58.706696,0.9370396
327,54.352905,0.84576577
328,69.3255,0.89936656
329,56.29866,0.90838176
330,59.480152,0.9452947
331,58.41454,0.93303
332,58.85281,0.90227544
333,51.696846,0.71459305
334,70.172195,0.9135946
335,59.010345,0.92900807
336,62.93212,0.94232345
337,66.4147,0.9697885
338,57.577126,0.92856055
339,59.855698,0.8550098
340,50.822147,0.91672206
341,47.09288,0.90932643
342,53.223293,0.8303864
343,50.538193,0.8960585
344,40.354164,0.7660218
345,73.30419,0.97721916
346,65.04459,0.91636443
347,47.98256,0.84906363
348,60.405827,0.9636851
349,50.857914,0.9376624
350,64.75597,1.0
351,64.97738,0.9495398
352,48.748497,0.7897668
353,69.8231,1.0
354,73.040955,1.0
355,65.97257,1.0
356,57.828476,0.8993719
357,47.217964,0.83828264
358,54.8642,0.9170859
359,76.26549,1.0
360,65.05761,0.93306506
361,49.033054,0.91320974
362,62.645172,0.91078
363,52.117886,0.8818182
364,53.037746,0.914824
365,51.995457,0.8948633
366,58.501507,1.0
367,70.8185,0.95147705
368,58.95037,0.88563955
369,63.747738,1.0
370,69.777275,1.0
371,57.139904,0.8781242
372,63.737667,0.95267606
373,65.905235,0.88809294
374,63.279892,0.88977855
375,56.20547,0.84406835
376,58.079494,1.0
377,54.040848,0.83420914
378,66.78889,0.876618
379,53.83859,0.9064424
380,65.018196,0.963442
381,70.61849,1.0
382,64.24235,0.9489745
383,70.61666,1.0
384,68.28299,1.0
385,59.22163,0.9854885
386,40.11873,0.80526835
387,47.453762,0.9495684
